Px,Py,Pz,function,Index,area,Connection,cluster,weight
200,0,0,Parking,1,2700,02-Mar,1,0.5
186.494,0,-72.2483,PublicG0,2,150,1/3/6/7,2,0.7
147.802,0,-134.739,SemiPubG,3,150,1/2/4/8/9/14,2,0.7
89.1477,0,-179.033,PublicG1,4,200,3/10/11/12/13,2,0.7
18.4537,0,-199.147,PrivateG,5,300,14/15/16/17,2,1
-54.7326,0,-192.365,Arcade,6,40,2,3,0.4
-120.527,0,-159.603,Shopping,7,100,2,3,0.4
-170.043,0,-105.286,Workshops,8,100,3,4,0.4
-196.595,0,-36.7499,Gym,9,500,3,4,0.4
-196.595,0,36.7499,Library,10,150,04/11/2012,5,0.7
-170.043,0,105.286,Cinema,11,150,10-Dec,5,0.7
-120.527,0,159.603,Cafe,12,50,04/10/2011,5,0.7
-54.7326,0,192.365,Restaurant,13,80,Apr-14,6,0.6
18.4536,0,199.147,ComCenter,14,620,03/05/2013,6,0.7
89.1477,0,179.033,Starter,15,6000,5,7,1
147.802,0,134.739,Student,16,2800,5,7,1
186.494,0,72.2483,Assisted,17,1200,5,7,1
